# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Sep 26 02:02:47 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.00000 1.9159952402 2.5647908339    1.915  1.342  3.8902  3.891    0 1.414 1.638 1.573 1.361 1.234 1.127 0.994 0.911 0.896
0.0152 0.01508 9.00000 1.9456884861 2.5661595156    1.945  1.379  3.8862  3.845    0 1.322 1.554 1.488 1.267 1.134 1.021 0.880 0.790 0.775
0.0152 0.01508 9.00000 1.9500001669 2.5663542767    1.950  1.384  3.8855  3.838    0 1.309 1.542 1.476 1.254 1.119 1.005 0.862 0.771 0.756
0.0152 0.01508 9.00000 1.9732749462 2.5673887315    1.973  1.412  3.8809  3.797    0 1.239 1.481 1.416 1.182 1.039 0.917 0.766 0.668 0.653
0.0152 0.01508 9.00000 2.0000000000 2.5685424513    2.000  1.444  3.8740  3.744    0 1.161 1.417 1.354 1.102 0.947 0.813 0.648 0.539 0.522
0.0152 0.01508 9.00000 2.0036396980 2.5686968409    2.004  1.448  3.8731  3.736    0 1.150 1.409 1.345 1.091 0.934 0.799 0.631 0.521 0.504
0.0152 0.01508 9.00000 2.0256264210 2.5696159264    2.025  1.473  3.8655  3.685    0 1.086 1.363 1.302 1.028 0.856 0.707 0.524 0.402 0.384
0.0152 0.01508 9.00000 2.0439126492 2.5703630284    2.043  1.494  3.8580  3.638    0 1.035 1.331 1.273 0.978 0.791 0.629 0.431 0.295 0.276
0.0152 0.01508 9.00000 2.0499999523 2.5706083333    2.050  1.501  3.8553  3.622    0 1.018 1.322 1.264 0.962 0.770 0.603 0.399 0.259 0.239
0.0152 0.01508 9.00000 2.0610949993 2.5710511557    2.060  1.513  3.8502  3.592    0 0.987 1.307 1.251 0.933 0.731 0.556 0.340 0.191 0.170
0.0152 0.01508 9.00000 2.0751688480 2.5716050400    2.074  1.529  3.8426  3.549    0 0.949 1.294 1.238 0.899 0.681 0.492 0.260 0.096 0.075
0.0152 0.01508 9.00000 2.0906856060 2.5722057819    2.090  1.549  3.8355  3.503    0 0.897 1.268 1.212 0.851 0.620 0.419 0.171 -0.006 -0.029
0.0152 0.01508 9.00000 2.0999999046 2.5725614918    2.099  1.563  3.8321  3.477    0 0.862 1.247 1.190 0.818 0.580 0.373 0.117 -0.066 -0.090
0.0152 0.01508 9.00000 2.1010882854 2.5726028201    2.100  1.565  3.8317  3.474    0 0.858 1.244 1.187 0.814 0.576 0.368 0.111 -0.073 -0.097
0.0152 0.01508 9.00000 2.1082856655 2.5728748863    2.107  1.591  3.8389  3.478    0 0.792 1.153 1.092 0.743 0.519 0.325 0.084 -0.085 -0.108
0.0152 0.01508 9.00000 2.1108906269 2.5729728300    2.110  1.612  3.8489  3.498    0 0.740 1.068 1.001 0.683 0.480 0.304 0.085 -0.065 -0.086
0.0152 0.01508 9.00000 2.1119914055 2.5730141345    2.111  1.631  3.8586  3.518    0 0.693 0.993 0.919 0.631 0.448 0.290 0.093 -0.039 -0.059
0.0152 0.01508 9.00000 2.1125972271 2.5730368457    2.112  1.650  3.8685  3.539    0 0.645 0.921 0.838 0.579 0.417 0.277 0.101 -0.014 -0.032
0.0152 0.01508 9.00000 2.1129539013 2.5730502098    2.112  1.670  3.8781  3.557    0 0.594 0.848 0.755 0.526 0.384 0.263 0.105 0.007 -0.010
0.0152 0.01508 9.00000 2.1131777763 2.5730585954    2.112  1.693  3.8875  3.572    0 0.538 0.772 0.670 0.471 0.349 0.244 0.105 0.022 0.006
0.0152 0.01508 9.00000 2.1133317947 2.5730643632    2.112  1.716  3.8963  3.584    0 0.480 0.697 0.588 0.418 0.314 0.224 0.101 0.030 0.015
0.0152 0.01508 9.00000 2.1134197712 2.5730676574    2.112  1.724  3.9003  3.592    0 0.459 0.668 0.557 0.400 0.303 0.220 0.104 0.039 0.024
0.0152 0.01508 9.00000 2.1134493351 2.5730687644    2.112  1.713  3.8980  3.594    0 0.488 0.701 0.592 0.427 0.326 0.238 0.119 0.050 0.035
0.0152 0.01508 9.00000 2.1135218143 2.5730714780    2.112  1.682  3.8910  3.597    0 0.565 0.792 0.690 0.500 0.384 0.285 0.153 0.074 0.059
0.0152 0.01508 9.00000 2.1135787964 2.5730736112    2.112  1.659  3.8818  3.583    0 0.623 0.868 0.775 0.556 0.421 0.306 0.156 0.063 0.047
0.0152 0.01508 9.00000 2.1136527061 2.5730763780    2.113  1.649  3.8701  3.546    0 0.649 0.920 0.836 0.582 0.423 0.287 0.113 0.001 -0.017
0.0152 0.01508 9.00000 2.1137385368 2.5730795907    2.113  1.654  3.8585  3.495    0 0.635 0.937 0.859 0.572 0.389 0.231 0.034 -0.098 -0.118
0.0152 0.01508 9.00000 2.1138403416 2.5730834010    2.113  1.663  3.8468  3.439    0 0.613 0.950 0.878 0.556 0.350 0.171 -0.052 -0.205 -0.227
0.0152 0.01508 9.00000 2.1139564514 2.5730877461    2.113  1.668  3.8352  3.387    0 0.600 0.978 0.908 0.549 0.320 0.120 -0.129 -0.304 -0.328
0.0152 0.01508 9.00000 2.1140856743 2.5730925813    2.113  1.670  3.8238  3.340    0 0.595 1.023 0.952 0.554 0.302 0.082 -0.193 -0.391 -0.417
0.0152 0.01508 9.00000 2.1142277718 2.5730978975    2.113  1.669  3.8130  3.298    0 0.598 1.081 1.004 0.568 0.294 0.054 -0.246 -0.466 -0.494
0.0152 0.01508 9.00000 2.1143863201 2.5731038282    2.113  1.665  3.8029  3.261    0 0.607 1.159 1.066 0.587 0.291 0.034 -0.290 -0.531 -0.562
0.0152 0.01508 9.00000 2.1145730019 2.5731108100    2.113  1.659  3.7933  3.229    0 0.623 1.250 1.136 0.615 0.297 0.024 -0.324 -0.584 -0.619
0.0152 0.01508 9.00000 2.1148037910 2.5731194393    2.114  1.648  3.7840  3.203    0 0.649 1.357 1.218 0.655 0.316 0.026 -0.345 -0.625 -0.663
0.0152 0.01508 9.00000 2.1151134968 2.5731310160    2.114  1.630  3.7735  3.179    0 0.696 1.507 1.331 0.721 0.358 0.049 -0.350 -0.655 -0.696
0.0152 0.01508 9.00000 2.1154785156 2.5731446553    2.114  1.601  3.7625  3.164    0 0.768 1.697 1.476 0.816 0.428 0.099 -0.330 -0.662 -0.707
0.0152 0.01508 9.00000 2.1157786846 2.5731558673    2.115  1.571  3.7540  3.161    0 0.843 1.871 1.609 0.913 0.504 0.161 -0.292 -0.645 -0.693
0.0152 0.01508 9.00000 2.1160478592 2.5731659186    2.115  1.539  3.7466  3.163    0 0.923 2.041 1.739 1.012 0.586 0.230 -0.245 -0.617 -0.667
0.0152 0.01508 9.00000 2.1162807941 2.5731746142    2.115  1.509  3.7404  3.168    0 0.997 2.197 1.855 1.104 0.664 0.296 -0.197 -0.587 -0.639
0.0152 0.01508 9.00000 2.1165759563 2.5731856296    2.115  1.474  3.7328  3.172    0 1.085 2.392 1.998 1.216 0.757 0.377 -0.140 -0.550 -0.604
0.0152 0.01508 9.00000 2.1168708801 2.5731966327    2.116  1.451  3.7255  3.167    0 1.143 2.558 2.111 1.298 0.822 0.430 -0.110 -0.540 -0.596
0.0152 0.01508 9.00000 2.1173129082 2.5732131173    2.116  1.446  3.7156  3.132    0 1.155 2.729 2.200 1.346 0.846 0.436 -0.136 -0.593 -0.653
0.0152 0.01508 9.00000 2.1173865795 2.5732158639    2.116  1.448  3.7140  3.123    0 1.149 2.749 2.208 1.347 0.842 0.430 -0.147 -0.608 -0.669
0.0152 0.01508 9.00000 2.1174626350 2.5732186992    2.116  1.454  3.7127  3.112    0 1.134 2.757 2.204 1.337 0.829 0.414 -0.168 -0.632 -0.693
0.0152 0.01508 9.00000 2.1178433895 2.5732328901    2.117  1.492  3.7064  3.050    0 1.041 2.771 2.163 1.269 0.745 0.320 -0.284 -0.766 -0.829
0.0152 0.01508 9.00000 2.1182234287 2.5732470484    2.117  1.537  3.7013  2.984    0 0.926 2.748 2.094 1.176 0.640 0.205 -0.416 -0.912 -0.978
0.0152 0.01508 9.00000 2.1185274124 2.5732583691    2.117  1.576  3.6978  2.930    0 0.829 2.716 2.028 1.095 0.549 0.107 -0.526 -1.032 -1.100
0.0152 0.01508 9.00000 2.1188311577 2.5732696772    2.118  1.617  3.6945  2.877    0 0.728 2.676 1.957 1.009 0.455 0.007 -0.638 -1.154 -1.223
0.0152 0.01508 9.00000 2.1191298962 2.5732807953    2.118  1.658  3.6914  2.824    0 0.625 2.631 1.883 0.921 0.359 -0.095 -0.751 -1.275 -1.346
0.0152 0.01508 9.00000 2.1194200516 2.5732915905    2.118  1.699  3.6884  2.771    0 0.523 2.586 1.809 0.834 0.264 -0.196 -0.863 -1.396 -1.468
0.0152 0.01508 9.00000 2.1197044849 2.5733021695    2.119  1.739  3.6856  2.719    0 0.422 2.540 1.736 0.748 0.169 -0.296 -0.973 -1.514 -1.589
0.0152 0.01508 9.00000 2.1199872494 2.5733126831    2.119  1.779  3.6829  2.669    0 0.322 2.494 1.662 0.662 0.076 -0.394 -1.082 -1.631 -1.707
0.0152 0.01508 9.00000 2.1201286316 2.5733179388    2.119  1.799  3.6816  2.643    0 0.273 2.470 1.626 0.619 0.030 -0.443 -1.136 -1.689 -1.765
0.0152 0.01508 9.00000 2.1201984882 2.5733205353    2.119  1.809  3.6809  2.631    0 0.248 2.458 1.607 0.598 0.007 -0.468 -1.163 -1.717 -1.794
0.0152 0.01508 9.00000 2.1204779148 2.5733309193    2.119  1.848  3.6783  2.581    0 0.149 2.411 1.535 0.513 -0.085 -0.565 -1.270 -1.832 -1.911
0.0152 0.01508 9.00000 2.1205477715 2.5733335148    2.119  1.858  3.6777  2.569    0 0.124 2.400 1.516 0.492 -0.108 -0.589 -1.296 -1.861 -1.940
0.0152 0.01508 9.00000 2.1206901073 2.5733388027    2.120  1.879  3.6763  2.543    0 0.073 2.377 1.479 0.448 -0.155 -0.640 -1.352 -1.920 -2.000
0.0152 0.01508 9.00000 2.1209695339 2.5733491811    2.120  1.920  3.6737  2.491    0 -0.029 2.333 1.406 0.362 -0.249 -0.739 -1.462 -2.038 -2.120
0.0152 0.01508 9.00000 2.1212444305 2.5733593883    2.120  1.960  3.6709  2.440    0 -0.131 2.302 1.337 0.276 -0.344 -0.840 -1.573 -2.157 -2.240
0.0152 0.01508 9.00000 2.1215131283 2.5733693624    2.120  2.001  3.6682  2.388    0 -0.233 2.276 1.271 0.192 -0.438 -0.940 -1.684 -2.275 -2.360
0.0152 0.01508 9.00000 2.1217761040 2.5733791212    2.121  2.042  3.6653  2.336    0 -0.334 2.252 1.206 0.109 -0.531 -1.039 -1.794 -2.393 -2.480
0.0152 0.01508 9.00000 2.1220362186 2.5733887711    2.121  2.082  3.6625  2.284    0 -0.436 2.229 1.140 0.026 -0.624 -1.139 -1.904 -2.512 -2.600
0.0152 0.01508 9.00000 2.1222898960 2.5733981796    2.121  2.123  3.6596  2.232    0 -0.536 2.209 1.077 -0.056 -0.715 -1.237 -2.014 -2.630 -2.720
0.0152 0.01508 9.00000 2.1225712299 2.5734086109    2.121  2.168  3.6563  2.174    0 -0.650 2.191 1.009 -0.145 -0.817 -1.347 -2.137 -2.763 -2.856
0.0152 0.01508 9.00000 2.1228158474 2.5734176781    2.122  2.208  3.6533  2.122    0 -0.751 2.177 0.949 -0.224 -0.908 -1.445 -2.246 -2.881 -2.976
0.0152 0.01508 9.00000 2.1230683327 2.5734270345    2.122  2.251  3.6501  2.066    0 -0.857 2.163 0.887 -0.307 -1.002 -1.547 -2.362 -3.006 -3.103
0.0152 0.01508 9.00000 2.1233251095 2.5734365473    2.122  2.295  3.6468  2.009    0 -0.967 2.154 0.825 -0.391 -1.099 -1.653 -2.481 -3.135 -3.234
0.0152 0.01508 9.00000 2.1235752106 2.5734458102    2.122  2.338  3.6435  1.953    0 -1.074 2.126 0.767 -0.474 -1.192 -1.754 -2.595 -3.256 -3.359
0.0152 0.01508 9.00000 2.1238412857 2.5734556620    2.123  2.383  3.6400  1.894    0 -1.186 2.092 0.706 -0.562 -1.289 -1.859 -2.715 -3.381 -3.490
0.0152 0.01508 9.00000 2.1241133213 2.5734657316    2.123  2.426  3.6367  1.837    0 -1.296 2.057 0.647 -0.645 -1.382 -1.961 -2.832 -3.503 -3.617
0.0152 0.01508 9.00000 2.1244173050 2.5734769802    2.123  2.467  3.6335  1.784    0 -1.398 2.024 0.592 -0.723 -1.468 -2.055 -2.939 -3.616 -3.735
0.0152 0.01508 9.00000 2.1245696545 2.5734826164    2.123  2.484  3.6321  1.761    0 -1.441 2.009 0.568 -0.756 -1.504 -2.095 -2.985 -3.664 -3.786
0.0152 0.01508 9.00000 2.1245980263 2.5734836659    2.123  2.476  3.6329  1.773    0 -1.419 2.016 0.580 -0.740 -1.485 -2.075 -2.962 -3.639 -3.760
